date,loan_month,policy_rate_pct,inflation_yoy_pct,cpi_mom_pct,nominal_wage_monthly_approx,real_wage_growth_pct,real_policy_rate_pct,debt_burden_indicator_pct,predicted_macro_pressure,prob_Low,prob_Medium,prob_High,monthly_inflation,monthly_wage_growth
2026-01-01,1,13.499921632517708,7.19947196962151,0.8874326484876338,6441603.718149853,9.656132278862604,6.300449662896198,35.57416052359402,Medium,0.31383735978341115,0.6860851208367438,7.751937984496124e-05,0.008874326484876339,0.013065351725295216
2026-02-01,2,13.49984657148475,7.1190495442751835,0.8874326484876338,6501584.027469842,7.668200117967801,6.380797027209567,35.57411028556857,Medium,0.29712369654033616,0.7027987840798187,7.751937984496124e-05,0.008874326484876339,0.009311393861592077
2026-03-01,3,13.499774323930776,7.054711603998122,0.8874326484876338,6557036.1045941925,5.694142327393525,6.445062719932654,35.57406194260774,Medium,0.2831633790800187,0.7167591015401362,7.751937984496124e-05,0.008874326484876339,0.008529010298115036
2026-04-01,4,13.499704784399412,7.003241251776473,0.8874326484876338,6608301.809827563,5.502225394255355,6.49646353262294,35.57401542322642,Medium,0.28108004574668544,0.7188424348734695,7.751937984496124e-05,0.008874326484876339,0.007818426559745628
2026-05-01,5,13.499637851387064,6.962064969999153,0.8874326484876338,6655697.194624083,5.239540271231087,6.537572881387911,35.57397065863607,Medium,0.278699093365733,0.7212233872544219,7.751937984496124e-05,0.008874326484876339,0.007172097485928397
2026-06-01,6,13.499573427194752,6.929123944577297,0.8874326484876338,6699514.450034586,4.914784899946923,6.570449482617455,35.57392758264296,Medium,0.278699093365733,0.7212233872544219,7.751937984496124e-05,0.008874326484876339,0.006583420809151974
2026-07-01,7,13.499511417785499,6.902771124239813,0.8874326484876338,6740023.708055216,4.5252241692700945,6.596740293545686,35.57388613155029,Medium,0.27703242669906636,0.7228900539210887,7.751937984496124e-05,0.008874326484876339,0.006046596111218383
2026-08-01,8,13.49945173264708,6.881688867969825,0.8874326484876338,6777474.706982652,4.088315504250773,6.617762864677254,35.573846244064036,Medium,0.27703242669906636,0.7228900539210887,7.751937984496124e-05,0.008874326484876339,0.005556508485671463
2026-09-01,9,13.49939428465989,6.864823062953835,0.8874326484876338,6812098.331042825,3.610059322692255,6.6345712217060555,35.573807861202276,Medium,0.27703242669906636,0.7228900539210887,7.751937984496124e-05,0.008874326484876339,0.005108631984196421
2026-10-01,10,13.4993389899698,6.851330418941043,0.8874326484876338,6844108.033784878,2.8936808764850213,6.6480085710287575,35.573770926207985,Medium,0.2743657600323997,0.7247233872544221,0.0009108527131782945,0.008874326484876339,0.004698949014899645
2026-11-01,11,13.49928576786574,6.84053630373081,0.8874326484876338,6873701.15401556,2.1525286042322467,6.65874946413493,35.573735384465124,Medium,0.2743657600323997,0.7247233872544221,0.0009108527131782945,0.008874326484876339,0.00432388268633388
2026-12-01,12,13.499234540661897,6.831901011562622,0.8874326484876338,6901060.132386735,1.3907320719748126,6.667333529099275,35.573701183417846,Medium,0.25603242669906634,0.7381995777306126,0.005767995570321152,0.008874326484876339,0.00398023972211714
2027-01-01,13,13.499185233584326,6.824992777828073,0.8874326484876338,6926353.636136244,0.7003058775449853,6.674192455756253,35.57366827249282,Medium,0.25603242669906634,0.7323794719105067,0.011588101390426972,0.008874326484876339,0.003665162056885496
